Title,Release Date,Playtime,Metascore,Developer,Publisher,Age Rating,Genre,Platforms
The Witcher 3: Wild Hunt,"MAY 18, 2015",AVERAGE PLAYTIME: 43 HOURS,92,CD PROJEKT RED,CD PROJEKT RED,17+ Mature,"Action, RPG","Platforms
Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One"
God of War (2018),"APR 20, 2018",AVERAGE PLAYTIME: 14 HOURS,94,Santa Monica Studio,Sony Interactive Entertainment,17+ Mature,Action,"Platforms
PC, PlayStation 4"
Astro Bot,"SEP 6, 2024",N/A,N/A,N/A,N/A,N/A,"Sep 6, 2024","Platforms
PlayStation 5"
Half-Life 2,"NOV 16, 2004",AVERAGE PLAYTIME: 7 HOURS,96,Valve Software,Valve,17+ Mature,"Action, Shooter","Platforms
PC, macOS, Xbox 360, Linux, Xbox, Android"
The Legend of Zelda: Tears of the Kingdom,"MAY 12, 2023",N/A,96,Nintendo,Nintendo,10+ Everyone 10+,"Action, Adventure","Platforms
Nintendo Switch"
Max Payne,"JUL 25, 2001",AVERAGE PLAYTIME: 2 HOURS,89,Remedy Entertainment,Microsoft Studios,17+ Mature,"Action, Shooter","Platforms
PC, PlayStation 3, Xbox, Classic Macintosh, PlayStation 2, Xbox 360, PlayStation 4"
Marvel's Spider-Man,"SEP 7, 2018",AVERAGE PLAYTIME: 6 HOURS,87,Insomniac Games,Sony Interactive Entertainment,13+ Teen,Action,"Platforms
PlayStation 4, PC, PlayStation 5"
Half-Life: Alyx,"MAR 23, 2020",AVERAGE PLAYTIME: 5 HOURS,93,Valve Software,Valve,17+ Mature,"Action, Shooter, Adventure","Platforms
PC"
Fallout: New Vegas,"OCT 19, 2010",AVERAGE PLAYTIME: 12 HOURS,84,Obsidian Entertainment,Bethesda Softworks,17+ Mature,"Action, Shooter, RPG","Platforms
Xbox 360, PC, Xbox One, PlayStation 4, PlayStation 3"
Max Payne 2: The Fall of Max Payne,"OCT 14, 2003",AVERAGE PLAYTIME: 3 HOURS,80,Remedy Entertainment,Rockstar Games,17+ Mature,"Action, Shooter","Platforms
PC, Xbox, PlayStation 2"
Resident Evil 4 (2005),"JAN 11, 2005",AVERAGE PLAYTIME: 5 HOURS,83,Capcom,Ubisoft Entertainment,17+ Mature,"Action, Shooter","Platforms
GameCube, Android, PC, iOS, PlayStation 4, PlayStation 2, Wii"
The Legend of Zelda: Ocarina of Time,"NOV 21, 1998",AVERAGE PLAYTIME: 7 HOURS,99,Nintendo,Nintendo,0+ Everyone,"Action, Adventure, RPG","Platforms
Nintendo Switch, Nintendo 64"
Black Myth: Wu Kong,"AUG 19, 2024",AVERAGE PLAYTIME: 24 HOURS,N/A,Game Science,N/A,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person, Fantasy, Difficult, Violent, Action-Adventure, Action RPG, Hack and Slash, Dark Fantasy, 3D, combat, Music, Drama, Souls-like, Mythology, Family Sharing","Aug 19, 2024","Platforms
PC"
Black Myth: Wukong,"AUG 20, 2024",N/A,N/A,Game Science,N/A,http://www.heishenhua.com/,"Aug 20, 2024","Platforms
PC, Xbox Series S/X, PlayStation 5"
